seqno,latency_ms
2999,0
2998,0
2997,0
2996,0
2995,0
2994,0
2993,0
2992,0
2991,0
2984,0
2990,0
2989,0
2988,0
2987,72
2986,72
2979,0
2985,87
2983,124
2982,137
2981,146
2980,146
2978,0
2971,0
2977,1
2976,1
2975,51
2974,59
2973,91
2972,91
2970,0
2969,0
2968,0
2967,0
2966,0
2965,0
2964,0
2963,0
2962,0
2961,0
2960,0
2959,0
2958,0
2957,0
2956,0
2955,0
2954,0
2953,0
2952,0
2951,0
2950,0
2949,0
2948,0
2947,0
2946,0
2945,0
2944,0
2943,0
2942,0
2941,0
2932,0
2940,69
2939,92
2938,100
2937,100
2936,128
2929,0
2935,128
2934,130
2933,130
2931,153
2930,160
2928,0
2927,0
2926,0
2925,0
2924,0
2923,0
2922,0
2921,0
2920,0
2919,0
2918,0
2917,0
2916,0
2915,0
2914,0
2913,0
2912,0
2911,0
2910,0
2909,0
2908,0
2907,0
2906,0
2905,0
2904,0
2903,0
2902,0
2901,0
2900,0
2899,0
2898,0
2897,0
2896,0
2895,0
2894,0
2893,0
2892,0
2891,0
2890,0
2889,0
2888,0
2887,0
2886,0
2885,0
2884,0
2883,0
2882,0
2881,0
2880,0
2879,0
2878,0
2877,0
2876,0
2875,0
2874,0
2873,0
2872,0
2871,0
2870,0
2864,0
2869,0
2868,0
2867,59
2866,61
2859,0
2865,61
2863,27
2862,27
2861,107
2860,110
2855,0
2858,107
2857,117
2850,0
2856,117
2854,75
2853,80
2852,80
2851,80
2849,0
2848,0
2847,0
2846,0
2845,0
2844,0
2843,0
2842,0
2841,0
2840,0
2839,0
2838,0
2837,0
2836,0
2835,0
2834,0
2833,0
2832,0
2831,0
2830,0
2829,0
2828,0
2827,0
2826,0
2825,0
2824,0
2823,0
2822,0
2821,0
2820,0
2819,0
2818,0
2817,0
2816,0
2815,0
2814,0
2813,0
2812,0
2811,0
2810,0
2809,0
2808,0
2807,0
2806,0
2805,0
2804,0
2803,0
2802,0
2801,0
2800,0
2799,0
2798,0
2797,0
2796,0
2795,0
2794,0
2793,0
2792,0
2791,0
2790,0
2789,0
2788,0
2787,0
2786,0
2785,0
2784,0
2783,0
2782,0
2781,0
2780,0
2779,0
2778,0
2777,0
2755,0
2756,0
2776,2
2775,4
2774,5
2773,15
2772,67
2771,68
2770,69
2769,70
2768,70
2767,71
2766,72
2765,74
2764,74
2763,75
2762,76
2761,77
2760,79
2752,0
2759,81
2758,82
2757,83
2754,432
2753,432
2751,0
2750,0
2749,0
2748,0
2747,0
2746,0
2745,0
2744,0
2743,0
2742,0
2741,0
2740,0
2739,0
2738,0
2737,0
2736,0
2735,0
2734,0
2733,0
2732,0
2731,0
2730,0
2729,0
2728,0
2727,0
2726,0
2725,0
2724,0
2723,0
2722,0
2721,0
2720,0
2719,0
2718,0
2710,0
2717,0
2716,7
2715,8
2714,74
2713,75
2712,76
2711,76
2709,0
2708,0
2707,0
2706,0
2705,0
2704,0
2703,0
2702,0
2701,0
2700,0
2699,0
2698,0
2697,0
2696,0
2695,0
2694,0
2693,0
2692,0
2691,0
2690,0
2689,0
2688,0
2687,0
2686,0
2685,0
2684,0
2683,0
2682,0
2681,0
2680,0
2679,0
2678,0
2677,0
2676,0
2675,0
2674,0
2673,0
2672,0
2671,0
2670,0
2669,0
2668,0
2667,0
2666,0
2665,0
2664,0
2663,0
2662,0
2661,0
2660,0
2659,0
2658,0
2657,0
2656,0
2655,0
2654,0
2653,0
2652,0
2651,0
2650,0
2649,0
2648,0
2633,0
2647,4
2646,6
2645,58
2644,97
2643,105
2642,105
2641,166
2640,196
2639,221
2638,225
2637,265
2636,293
2635,316
2634,316
2632,0
2625,0
2631,0
2630,0
2629,1
2628,83
2627,121
2626,121
2624,0
2623,0
2622,0
2621,0
2620,0
2619,0
2614,0
2618,0
2617,0
2616,53
2615,80
2613,0
2612,0
2611,0
2610,0
2609,0
2608,0
2607,0
2606,0
2605,0
2604,0
2603,0
2602,0
2601,0
2600,0
2599,0
2598,0
2597,0
2596,0
2595,0
2594,0
2593,0
2592,0
2591,0
2590,0
2582,0
2589,15
2588,16
2587,31
2586,99
2575,0
2585,99
2584,99
2583,99
2581,102
2580,104
2579,105
2578,107
2577,107
2576,107
2574,0
2573,0
2572,0
2571,0
2570,0
2569,0
2568,0
2567,0
2566,0
2565,0
2564,0
2563,0
2562,0
2561,0
2560,0
2559,0
2558,0
2557,0
2556,0
2555,0
2554,0
2553,0
2552,0
2551,0
2550,0
2549,0
2548,0
2547,0
2546,0
2545,0
2544,0
2543,0
2542,0
2541,0
2540,0
2539,0
2538,0
2537,0
2536,0
2535,0
2534,0
2533,0
2532,0
2531,0
2530,0
2529,0
2528,0
2527,0
2526,0
2525,0
2524,0
2523,0
2522,0
2521,0
2520,0
2519,0
2518,0
2517,0
2516,0
2515,0
2514,0
2513,0
2512,0
2511,0
2510,0
2509,0
2508,0
2507,0
2506,0
2505,0
2504,0
2503,0
2502,0
2501,0
2500,0
2499,0
2498,0
2497,0
2496,0
2495,0
2494,0
2493,0
2492,0
2491,0
2490,0
2489,0
2488,0
2487,0
2486,0
2485,0
2484,0
2483,0
2482,0
2481,0
2480,0
2479,0
2478,0
2467,0
2477,0
2476,1
2475,1
2474,80
2473,82
2472,82
2471,83
2470,85
2469,86
2446,0
2468,89
2466,187
2465,209
2464,211
2463,211
2462,211
2461,212
2460,212
2459,213
2458,213
2457,214
2456,215
2455,215
2454,216
2453,217
2452,219
2451,219
2450,219
2449,220
2448,221
2447,222
2445,0
2444,0
2443,0
2442,0
2435,0
2441,0
2440,1
2439,99
2438,100
2437,101
2436,109
2434,0
2433,0
2432,0
2431,0
2430,0
2429,0
2428,0
2427,0
2426,0
2425,0
2424,0
2423,0
2422,0
2421,0
2420,0
2419,0
2418,0
2412,0
2417,0
2416,8
2415,8
2414,89
2413,90
2411,0
2410,0
2409,0
2408,0
2407,0
2406,0
2405,0
2404,0
2403,0
2402,0
2401,0
2394,0
2400,0
2399,0
2398,0
2397,103
2385,0
2386,0
2396,104
2395,106
2393,93
2392,94
2391,95
2390,97
2389,98
2388,101
2387,101
2384,0
2383,0
2382,0
2381,0
2380,0
2374,0
2379,0
2378,120
2377,200
2376,229
2375,230
2366,0
2373,51
2372,100
2371,106
2370,106
2369,108
2368,108
2367,108
2365,0
2364,0
2363,0
2353,0
2362,0
2361,52
2360,92
2359,94
2358,96
1108,107
1107,108
1106,108
1105,109
1104,110
1103,111
1102,113
1101,114
1100,115
1099,117
1098,117
1094,506
1093,507
1092,508
1091,508
1089,0
1084,0
1088,0
1087,37
1075,0
1086,40
1085,107
1083,73
1082,74
1081,75
1080,78
1079,79
1078,80
1077,84
1076,87
1074,0
1073,0
1072,0
1071,0
1070,0
1069,0
1068,0
1067,0
1066,0
1065,0
1034,0
1027,0
1032,0
1064,0
1063,0
1062,58
1061,59
1060,59
1059,61
1058,61
1057,61
1056,61
1055,61
1054,61
1053,61
1052,61
1051,61
1050,61
1049,62
1048,62
1047,62
1046,62
1045,62
1044,62
1043,62
1042,62
